名次,用户名,分数,时间
1,user,4150,16-04-2022 08:13:28
2,user,4110,17-04-2022 16:00:26
3,user,250,13-04-2022 19:45:56
4,user,130,13-04-2022 19:36:47
5,user,100,16-04-2022 09:59:33
6,user,90,16-04-2022 09:48:48
7,user,80,15-04-2022 23:00:33
8,user,40,16-04-2022 09:43:21
9,user,30,16-04-2022 09:37:24
10,user,30,16-04-2022 10:02:09
11,user,20,13-04-2022 19:35:55
12,user,20,16-04-2022 09:47:34
13,user,10,16-04-2022 09:26:27
14,user,0,13-04-2022 19:44:28
15,user,0,13-04-2022 19:46:16
16,user,0,16-04-2022 09:36:27
